Brand 1,Brand 2,Lift
bmw,honda,0.25546622146068565
acura,audi,1.2024482493680801
audi,bmw,1.6826375475279909
honda,mercedes,0.7281759076630872
acura,bmw,0.8607286738747001
acura,honda,4.332125283597041
infiniti,mercedes,3.0862804458511084
acura,infiniti,4.149414441915969
audi,infiniti,2.02792144381352
bmw,infiniti,1.4780545670225385
bmw,mercedes,2.9036338239732715
honda,infiniti,0.7154751650875683
audi,honda,0.6220071808459575
audi,mercedes,3.2105422989500036
acura,mercedes,1.4780754402564575
honda,toyota,7.191919191919192
acura,ford,0.5874068181148531
acura,toyota,1.0813625515296161
bmw,toyota,0.3839102771487113
ford,honda,1.5192805974698977
audi,chrysler,0.5055108526607613
mercedes,volkswagen,2.9491124260355037
audi,volkswagen,1.5502332814930018
bmw,volkswagen,0.5912218268090155
chrysler,toyota,1.4071146245059287
audi,toyota,0.6039869927894811
chrysler,ford,5.350509930220075
chrysler,honda,0.6688137412775094
bmw,ford,0.21897104696630199
audi,ford,0.0956934124378396
mercedes,toyota,0.7660032275416891
chrysler,infiniti,1.2598584428715873
acura,chrysler,0.2585866971049081
ford,toyota,0.7991021324354658
infiniti,toyota,0.7526427061310782
bmw,chrysler,0.25705296817783274
ford,infiniti,0.3577375825437841
ford,volkswagen,6.153086419753087
